catalog_product_id,product_name,brand,category,subcategory,desired_image_query,preferred_source,source_url,image_status,local_storage_filename
laundry-detergent,Laundry Detergent,,Household,Laundry,"Laundry Detergent, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/laundry-detergent.jpg
laundry-pods,Laundry Pods,,Household,Laundry,"Laundry Pods, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/laundry-pods.jpg
stain-remover,Stain Remover,,Household,Laundry,"Stain Remover, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/stain-remover.jpg
paper-towels,Paper Towels,,Household,Paper,"Paper Towels, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/paper-towels.jpg
toilet-paper,Toilet Paper,,Household,Paper,"Toilet Paper, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/toilet-paper.jpg
body-wash,Body Wash,,Household,Personal Care,"Body Wash, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/body-wash.jpg
conditioner,Conditioner,,Household,Personal Care,"Conditioner, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/conditioner.jpg
deodorant,Deodorant,,Household,Personal Care,"Deodorant, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/deodorant.jpg
hand-soap,Hand Soap,,Household,Personal Care,"Hand Soap, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/hand-soap.jpg
mascara,Mascara,,Household,Personal Care,"Mascara, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/mascara.jpg
primer,Primer,,Household,Personal Care,"Primer, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/primer.jpg
razors,Razors,,Household,Personal Care,"Razors, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/razors.jpg
shampoo,Shampoo,,Household,Personal Care,"Shampoo, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/shampoo.jpg
toothbrush,Toothbrush,,Household,Personal Care,"Toothbrush, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/toothbrush.jpg
toothpaste,Toothpaste,,Household,Personal Care,"Toothpaste, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/toothpaste.jpg
dog-food,Dog Food,,Household,Pet,"Dog Food, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/dog-food.jpg
dog-treats,Dog Treats,,Household,Pet,"Dog Treats, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/dog-treats.jpg
food-storage-bags,Food Storage Bags,,Household,Storage,"Food Storage Bags, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/food-storage-bags.jpg
parchment-paper,Parchment Paper,,Household,Storage,"Parchment Paper, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/parchment-paper.jpg
plastic-wrap,Plastic Wrap,,Household,Storage,"Plastic Wrap, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/plastic-wrap.jpg
garbage-bags,Garbage Bags,,Household,Waste,"Garbage Bags, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/garbage-bags.jpg
recycle-bags,Recycle Bags,,Household,Waste,"Recycle Bags, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/recycle-bags.jpg
beef-roast,Beef Roast,,Meat & Seafood,Beef,"Beef Roast, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/beef-roast.jpg
stewing-beef,Stewing Beef,,Meat & Seafood,Beef,"Stewing Beef, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/stewing-beef.jpg
chicken-drumsticks,Chicken Drumsticks,,Meat & Seafood,Poultry,"Chicken Drumsticks, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/chicken-drumsticks.jpg
chicken-thighs,Chicken Thighs,,Meat & Seafood,Poultry,"Chicken Thighs, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/chicken-thighs.jpg
ground-turkey,Ground Turkey,,Meat & Seafood,Poultry,"Ground Turkey, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/ground-turkey.jpg
whole-chicken,Whole Chicken,,Meat & Seafood,Poultry,"Whole Chicken, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/whole-chicken.jpg
burgers,Burgers,,Meat & Seafood,Prepared Meat,"Burgers, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/burgers.jpg
italian-sausage,Italian Sausage,,Meat & Seafood,Prepared Meat,"Italian Sausage, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/italian-sausage.jpg
atlantic-salmon-fillet,Atlantic Salmon Fillet,,Meat & Seafood,Seafood,"Atlantic Salmon Fillet, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/atlantic-salmon-fillet.jpg
cod-fillet,Cod Fillet,,Meat & Seafood,Seafood,"Cod Fillet, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/cod-fillet.jpg
haddock-fillet,Haddock Fillet,,Meat & Seafood,Seafood,"Haddock Fillet, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/haddock-fillet.jpg
shrimp,Shrimp,,Meat & Seafood,Seafood,"Shrimp, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/shrimp.jpg
tuna-steaks,Tuna Steaks,,Meat & Seafood,Seafood,"Tuna Steaks, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/tuna-steaks.jpg
aluminum-foil,Aluminum Foil,,Pantry,Baking,"Aluminum Foil, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/aluminum-foil.jpg
bisquick,Bisquick,Betty Crocker,Pantry,Baking,"Betty Crocker Bisquick, product photo, white background",Manufacturer or retailer product photography (licensed/permitted use only),,not_acquired,/images/products/bisquick.jpg
panko-bread-crumbs,Panko Bread Crumbs,,Pantry,Baking,"Panko Bread Crumbs, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/panko-bread-crumbs.jpg
ziploc-bags,Ziploc Bags,Ziploc,Pantry,Baking,"Ziploc Ziploc Bags, product photo, white background",Manufacturer or retailer product photography (licensed/permitted use only),,not_acquired,/images/products/ziploc-bags.jpg
barbecue-sauce,Barbecue Sauce,,Pantry,Condiments,"Barbecue Sauce, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/barbecue-sauce.jpg
dijon-mustard,Dijon Mustard,,Pantry,Condiments,"Dijon Mustard, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/dijon-mustard.jpg
salsa,Salsa,,Pantry,Condiments,"Salsa, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/salsa.jpg
soy-sauce,Soy Sauce,,Pantry,Condiments,"Soy Sauce, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/soy-sauce.jpg
olive-oil,Olive Oil,,Pantry,Oils,"Olive Oil, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/olive-oil.jpg
vegetable-oil,Vegetable Oil,,Pantry,Oils,"Vegetable Oil, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/vegetable-oil.jpg
ritz-crackers,Ritz Crackers,Ritz,Pantry,Snacks,"Ritz Ritz Crackers, product photo, white background",Manufacturer or retailer product photography (licensed/permitted use only),,not_acquired,/images/products/ritz-crackers.jpg
chili-powder,Chili Powder,,Pantry,Spices,"Chili Powder, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/chili-powder.jpg
fajita-seasoning,Fajita Seasoning,,Pantry,Spices,"Fajita Seasoning, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/fajita-seasoning.jpg
mustard-powder,Mustard Powder,,Pantry,Spices,"Mustard Powder, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/mustard-powder.jpg
steak-spice,Steak Spice,,Pantry,Spices,"Steak Spice, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/steak-spice.jpg
taco-seasoning,Taco Seasoning,,Pantry,Spices,"Taco Seasoning, product photo, white background, no price labels",Licensed stock photography or in-house photography,,not_acquired,/images/products/taco-seasoning.jpg
avocados,Avocados,,Produce,Fruit,"Avocados, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/avocados.jpg
bananas-bunch,Bananas Bunch,,Produce,Fruit,"Bananas Bunch, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/bananas-bunch.jpg
cantaloupe,Cantaloupe,,Produce,Fruit,"Cantaloupe, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/cantaloupe.jpg
green-seedless-grapes,Green Seedless Grapes,,Produce,Fruit,"Green Seedless Grapes, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/green-seedless-grapes.jpg
kiwi,Kiwi,,Produce,Fruit,"Kiwi, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/kiwi.jpg
lemons,Lemons,,Produce,Fruit,"Lemons, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/lemons.jpg
limes,Limes,,Produce,Fruit,"Limes, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/limes.jpg
oranges,Oranges,,Produce,Fruit,"Oranges, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/oranges.jpg
pineapple,Pineapple,,Produce,Fruit,"Pineapple, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/pineapple.jpg
raspberries,Raspberries,,Produce,Fruit,"Raspberries, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/raspberries.jpg
watermelon,Watermelon,,Produce,Fruit,"Watermelon, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/watermelon.jpg
arugula,Arugula,,Produce,Leafy Greens,"Arugula, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/arugula.jpg
romaine-hearts-3-pack,Romaine Hearts 3-Pack,,Produce,Leafy Greens,"Romaine Hearts 3-Pack, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/romaine-hearts-3-pack.jpg
spinach,Spinach,,Produce,Leafy Greens,"Spinach, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/spinach.jpg
asparagus,Asparagus,,Produce,Vegetables,"Asparagus, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/asparagus.jpg
bi-colour-corn-on-the-cob,Bi-Colour Corn on the Cob,,Produce,Vegetables,"Bi-Colour Corn on the Cob, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/bi-colour-corn-on-the-cob.jpg
cauliflower,Cauliflower,,Produce,Vegetables,"Cauliflower, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/cauliflower.jpg
celery,Celery,,Produce,Vegetables,"Celery, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/celery.jpg
cherry-tomatoes,Cherry Tomatoes,,Produce,Vegetables,"Cherry Tomatoes, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/cherry-tomatoes.jpg
corn-on-the-cob,Corn on the Cob,,Produce,Vegetables,"Corn on the Cob, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/corn-on-the-cob.jpg
english-cucumber,English Cucumber,,Produce,Vegetables,"English Cucumber, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/english-cucumber.jpg
garlic,Garlic,,Produce,Vegetables,"Garlic, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/garlic.jpg
grape-tomatoes,Grape Tomatoes,,Produce,Vegetables,"Grape Tomatoes, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/grape-tomatoes.jpg
green-beans,Green Beans,,Produce,Vegetables,"Green Beans, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/green-beans.jpg
green-onion,Green Onion,,Produce,Vegetables,"Green Onion, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/green-onion.jpg
mini-cucumbers,Mini Cucumbers,,Produce,Vegetables,"Mini Cucumbers, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/mini-cucumbers.jpg
mushrooms,Mushrooms,,Produce,Vegetables,"Mushrooms, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/mushrooms.jpg
sweet-potato,Sweet Potato,,Produce,Vegetables,"Sweet Potato, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/sweet-potato.jpg
tomatoes,Tomatoes,,Produce,Vegetables,"Tomatoes, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/tomatoes.jpg
yellow-onions-3-lb-bag,Yellow Onions 3 lb Bag,,Produce,Vegetables,"Yellow Onions 3 lb Bag, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/yellow-onions-3-lb-bag.jpg
zucchini,Zucchini,,Produce,Vegetables,"Zucchini, clean representative food photo, white/neutral background, no packaging text",Licensed stock photography or in-house photography,,not_acquired,/images/products/zucchini.jpg
