catalog_product_id,canonical_name,category,subcategory,preferred_brand,preferred_variant,image_strategy,source_type,target_filename,image_prompt,status
neilson-2-milk-4-l,Neilson 2% Milk 4 L,Dairy & Eggs,Milk,,,REAL_BRANDED,needs_licensed_sourcing,/images/products/neilson-2-milk-4-l.jpg,"SOURCE A REAL Neilson product photo (manufacturer/retailer licensed photography). Do not generate fake branding/packaging. If not legitimately available, fall back to generic unbranded canonical photography: generic unbranded package or container (no real or invented brand markings). Neilson 2% Milk 4 L, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",needs_review
deli-meat,Deli Meat,Deli & Prepared,Deli,,,EXISTING,existing_asset,/images/products/deli-meat.jpg,,existing
marilu-s-mac-and-cheese,Marilu's Mac and Cheese,Deli & Prepared,Prepared Meals,,,EXISTING,existing_asset,/images/products/marilus-mac-and-cheese.jpg,,existing
coffee,Coffee,Drinks,Coffee,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/coffee.jpg,"generic unbranded bottle, carton, or can. Coffee, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
orange-juice,Orange Juice,Drinks,Juice,,,EXISTING,existing_asset,/images/products/orange-juice.jpg,,existing
juice-boxes,Juice Boxes,Drinks,Kids Drinks,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/juice-boxes.jpg,"generic unbranded bottle, carton, or can. Juice Boxes, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
decaf-tea,Decaf Tea,Drinks,Tea,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/decaf-tea.jpg,"generic unbranded bottle, carton, or can. Decaf Tea, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
iced-tea,Iced Tea,Drinks,Tea,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/iced-tea.jpg,"generic unbranded bottle, carton, or can. Iced Tea, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
bottled-water,Bottled Water,Drinks,Water,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/bottled-water.jpg,"generic unbranded bottle, carton, or can. Bottled Water, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
gelato,Gelato,Frozen,Frozen Dessert,,,EXISTING,existing_asset,/images/products/gelato.jpg,,existing
ice-cream,Ice Cream,Frozen,Frozen Dessert,,,EXISTING,existing_asset,/images/products/ice-cream.jpg,,existing
popsicles,Popsicles,Frozen,Frozen Dessert,,,EXISTING,existing_asset,/images/products/popsicles.jpg,,existing
frozen-pizza,Frozen Pizza,Frozen,Frozen Meals,,,EXISTING,existing_asset,/images/products/frozen-pizza.jpg,,existing
frozen-chicken-strips,Frozen Chicken Strips,Frozen,Frozen Meat,,,EXISTING,existing_asset,/images/products/frozen-chicken-strips.jpg,,existing
french-fries,French Fries,Frozen,Frozen Sides,,,EXISTING,existing_asset,/images/products/french-fries.jpg,,existing
frozen-mixed-vegetables,Frozen Mixed Vegetables,Frozen,Frozen Vegetables,,,EXISTING,existing_asset,/images/products/frozen-vegetables.jpg,,existing
all-purpose-cleaner,All-Purpose Cleaner,Household,Cleaning,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/all-purpose-cleaner.jpg,"generic unbranded cleaning bottle or container. All-Purpose Cleaner, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
bathroom-cleaner,Bathroom Cleaner,Household,Cleaning,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/bathroom-cleaner.jpg,"generic unbranded cleaning bottle or container. Bathroom Cleaner, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
disinfecting-wipes,Disinfecting Wipes,Household,Cleaning,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/disinfecting-wipes.jpg,"generic unbranded cleaning bottle or container. Disinfecting Wipes, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
glass-cleaner,Glass Cleaner,Household,Cleaning,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/glass-cleaner.jpg,"generic unbranded cleaning bottle or container. Glass Cleaner, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
lysol,Lysol,Household,Cleaning,Lysol,,REAL_BRANDED,needs_licensed_sourcing,/images/products/lysol.jpg,"SOURCE A REAL Lysol product photo (manufacturer/retailer licensed photography). Do not generate fake branding/packaging. If not legitimately available, fall back to generic unbranded canonical photography: generic unbranded cleaning bottle or container. Lysol, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",needs_review
mr-clean,Mr. Clean,Household,Cleaning,Mr. Clean,,REAL_BRANDED,needs_licensed_sourcing,/images/products/mr-clean.jpg,"SOURCE A REAL Mr. Clean product photo (manufacturer/retailer licensed photography). Do not generate fake branding/packaging. If not legitimately available, fall back to generic unbranded canonical photography: generic unbranded cleaning bottle or container. Mr. Clean, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",needs_review
toilet-bowl-cleaner,Toilet Bowl Cleaner,Household,Cleaning,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/toilet-bowl-cleaner.jpg,"generic unbranded cleaning bottle or container. Toilet Bowl Cleaner, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
dish-soap,Dish Soap,Household,Dishwashing,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/dish-soap.jpg,"generic accurate unbranded household product. Dish Soap, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
dishwasher-pods,Dishwasher Pods,Household,Dishwashing,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/dishwasher-pods.jpg,"generic accurate unbranded household product. Dishwasher Pods, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
dishwasher-soap,Dishwasher Soap,Household,Dishwashing,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/dishwasher-soap.jpg,"generic accurate unbranded household product. Dishwasher Soap, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
fabric-softener,Fabric Softener,Household,Laundry,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/fabric-softener.jpg,"generic unbranded laundry package or container. Fabric Softener, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
laundry-detergent,Laundry Detergent,Household,Laundry,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/laundry-detergent.jpg,"generic unbranded laundry package or container. Laundry Detergent, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
laundry-pods,Laundry Pods,Household,Laundry,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/laundry-pods.jpg,"generic unbranded laundry package or container. Laundry Pods, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
stain-remover,Stain Remover,Household,Laundry,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/stain-remover.jpg,"generic unbranded laundry package or container. Stain Remover, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
paper-towels,Paper Towels,Household,Paper,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/paper-towels.jpg,"generic accurate unbranded household product. Paper Towels, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
toilet-paper,Toilet Paper,Household,Paper,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/toilet-paper.jpg,"generic accurate unbranded household product. Toilet Paper, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
body-wash,Body Wash,Household,Personal Care,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/body-wash.jpg,"generic unbranded bottle or tube. Body Wash, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
conditioner,Conditioner,Household,Personal Care,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/conditioner.jpg,"generic unbranded bottle or tube. Conditioner, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
deodorant,Deodorant,Household,Personal Care,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/deodorant.jpg,"generic unbranded bottle or tube. Deodorant, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
hand-soap,Hand Soap,Household,Personal Care,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/hand-soap.jpg,"generic unbranded bottle or tube. Hand Soap, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
razors,Razors,Household,Personal Care,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/razors.jpg,"generic unbranded bottle or tube. Razors, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
shampoo,Shampoo,Household,Personal Care,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/shampoo.jpg,"generic unbranded bottle or tube. Shampoo, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
toothbrush,Toothbrush,Household,Personal Care,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/toothbrush.jpg,"generic unbranded bottle or tube. Toothbrush, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
toothpaste,Toothpaste,Household,Personal Care,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/toothpaste.jpg,"generic unbranded bottle or tube. Toothpaste, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
food-storage-bags,Food Storage Bags,Household,Storage,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/food-storage-bags.jpg,"generic accurate unbranded household product. Food Storage Bags, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
parchment-paper,Parchment Paper,Household,Storage,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/parchment-paper.jpg,"generic accurate unbranded household product. Parchment Paper, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
plastic-wrap,Plastic Wrap,Household,Storage,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/plastic-wrap.jpg,"generic accurate unbranded household product. Plastic Wrap, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
garbage-bags,Garbage Bags,Household,Waste,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/garbage-bags.jpg,"generic accurate unbranded household product. Garbage Bags, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
recycle-bags,Recycle Bags,Household,Waste,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/recycle-bags.jpg,"generic accurate unbranded household product. Recycle Bags, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
aaa-striploin-steak,AAA Striploin Steak,Meat & Seafood,Beef,,Striploin,EXISTING,existing_asset,/images/products/steak.jpg,,existing
beef-roast,Beef Roast,Meat & Seafood,Beef,,,EXISTING,adobe_stock_licensed,/images/products/beef-roast.jpg,,sourced
beef-tenderloin,Beef Tenderloin,Meat & Seafood,Beef,,,EXISTING,existing_asset,/images/products/steak.jpg,,existing
fast-fry-beef,Fast-Fry Beef,Meat & Seafood,Beef,,,EXISTING,existing_asset,/images/products/fast-fry-beef.jpg,,existing
ground-beef,Ground Beef,Meat & Seafood,Beef,,,EXISTING,existing_asset,/images/products/ground-beef.jpg,,existing
lean-ground-beef,Lean Ground Beef,Meat & Seafood,Beef,,,EXISTING,existing_asset,/images/products/ground-beef.jpg,,existing
new-york-strip,New York Strip,Meat & Seafood,Beef,,New York Strip,EXISTING,adobe_stock_licensed,/images/products/new-york-strip.jpg,,sourced
ribeye-steak,Ribeye Steak,Meat & Seafood,Beef,,,EXISTING,existing_asset,/images/products/steak.jpg,,existing
sirloin-steak,Sirloin Steak,Meat & Seafood,Beef,,,EXISTING,existing_asset,/images/products/steak.jpg,,existing
stewing-beef,Stewing Beef,Meat & Seafood,Beef,,,EXISTING,adobe_stock_licensed,/images/products/stewing-beef.jpg,,sourced
ground-pork,Ground Pork,Meat & Seafood,Pork,,,EXISTING,existing_asset,/images/products/pork.jpg,,existing
pork-back-ribs,Pork Back Ribs,Meat & Seafood,Pork,,,EXISTING,existing_asset,/images/products/pork.jpg,,existing
pork-chops,Pork Chops,Meat & Seafood,Pork,,,EXISTING,existing_asset,/images/products/pork.jpg,,existing
pork-tenderloin,Pork Tenderloin,Meat & Seafood,Pork,,,EXISTING,existing_asset,/images/products/pork.jpg,,existing
boneless-skinless-chicken-breast,Boneless Skinless Chicken Breast,Meat & Seafood,Poultry,,,EXISTING,existing_asset,/images/products/chicken-breast.jpg,,existing
burgers,Burgers,Meat & Seafood,Prepared Meat,,,EXISTING,adobe_stock_licensed,/images/products/burgers.jpg,,sourced
italian-sausage,Italian Sausage,Meat & Seafood,Prepared Meat,,,EXISTING,adobe_stock_licensed,/images/products/italian-sausage.jpg,,sourced
meatballs,Meatballs,Meat & Seafood,Prepared Meat,,,EXISTING,existing_asset,/images/products/meatballs.jpg,,existing
atlantic-salmon-fillet,Atlantic Salmon Fillet,Meat & Seafood,Seafood,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/atlantic-salmon-fillet.jpg,"clean butcher presentation on paper or a plate, no branding, raw uncooked product. Atlantic Salmon Fillet, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
cod-fillet,Cod Fillet,Meat & Seafood,Seafood,,,EXISTING,adobe_stock_licensed,/images/products/cod-fillet.jpg,,sourced
haddock-fillet,Haddock Fillet,Meat & Seafood,Seafood,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/haddock-fillet.jpg,"clean butcher presentation on paper or a plate, no branding, raw uncooked product. Haddock Fillet, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
shrimp,Shrimp,Meat & Seafood,Seafood,,,EXISTING,adobe_stock_licensed,/images/products/shrimp.jpg,,sourced
aluminum-foil,Aluminum Foil,Pantry,Baking,,,EXISTING,adobe_stock_licensed,/images/products/aluminum-foil.jpg,,sourced
bisquick,Bisquick,Pantry,Baking,Betty Crocker,,REAL_BRANDED,needs_licensed_sourcing,/images/products/bisquick.jpg,"SOURCE A REAL Betty Crocker (Bisquick) product photo (manufacturer/retailer licensed photography). Do not generate fake branding/packaging. If not legitimately available, fall back to generic unbranded canonical photography: generic unbranded container or package. Bisquick, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",needs_review
panko-bread-crumbs,Panko Bread Crumbs,Pantry,Baking,,,GENERATED_CANONICAL,ai_generated_canonical,/images/products/panko-bread-crumbs.jpg,"generic unbranded container or package. Panko Bread Crumbs, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",not_acquired
ziploc-bags,Ziploc Bags,Pantry,Baking,Ziploc,,REAL_BRANDED,needs_licensed_sourcing,/images/products/ziploc-bags.jpg,"SOURCE A REAL Ziploc product photo (manufacturer/retailer licensed photography). Do not generate fake branding/packaging. If not legitimately available, fall back to generic unbranded canonical photography: generic unbranded container or package. Ziploc Bags, premium photorealistic unbranded ecommerce product photography, 1024x1024, 1:1 square, warm-white clean background, soft studio lighting, subtle realistic shadow, product centered, 75-85% frame coverage, accurate natural color, high detail, clear at small mobile-card size, no people, no hands, no decorative scenes, no price stickers, no retailer logos, no fake brands, no fake packaging text, no watermarks, no emojis.",needs_review
sandwich-bread,Sandwich Bread,Pantry,Bread,,,EXISTING,existing_asset,/images/products/bread.jpg,,existing
toast-bread,Toast Bread,Pantry,Bread,,,EXISTING,adobe_stock_licensed,/images/products/toast-bread.jpg,,sourced
tortillas,Tortillas,Pantry,Bread,,,EXISTING,existing_asset,/images/products/tortillas.jpg,,existing
cinnamon-toast-crunch,Cinnamon Toast Crunch,Pantry,Breakfast,General Mills,,EXISTING,existing_asset,/images/products/cereal.jpg,,existing
oatmeal,Oatmeal,Pantry,Breakfast,,,EXISTING,existing_asset,/images/products/oatmeal.jpg,,existing
barbecue-sauce,Barbecue Sauce,Pantry,Condiments,,,EXISTING,adobe_stock_licensed,/images/products/barbecue-sauce.jpg,,sourced
dijon-mustard,Dijon Mustard,Pantry,Condiments,,,EXISTING,adobe_stock_licensed,/images/products/dijon-mustard.jpg,,sourced
jam,Jam,Pantry,Condiments,,,EXISTING,existing_asset,/images/products/jam.jpg,,existing
ketchup,Ketchup,Pantry,Condiments,,,EXISTING,existing_asset,/images/products/ketchup.jpg,,existing
mayonnaise,Mayonnaise,Pantry,Condiments,,,EXISTING,existing_asset,/images/products/mayonnaise.jpg,,existing
peanut-butter,Peanut Butter,Pantry,Condiments,,,EXISTING,existing_asset,/images/products/peanut-butter.jpg,,existing
